launch_service_provider,mission,name,net,pad,rocket,status
Ministry of Space Industry,FSW-0 4,Long March 2C | FSW-0 4,09/09/1982 7:19 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Space Industry,FSW-0 5,Long March 2C | FSW-0 5,08/19/1983 6 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Space Industry,DFH-2 1,Long March 3 | DFH-2 1,01/29/1984 12:25 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch was a Partial Failure
Ministry of Space Industry,DFH-2 2,Long March 3 | DFH-2 2,04/08/1984 11:20 a.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Space Industry,FSW-0 6,Long March 2C | FSW-0 6,09/12/1984 5:44 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Space Industry,FSW-0 7,Long March 2C | FSW-0 7,10/21/1985 5:04 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Space Industry,DFH-2A 1,Long March 3 | DFH-2A 1,02/01/1986 12:37 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Space Industry,FSW-0 8,Long March 2C | FSW-0 8,10/06/1986 5:40 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Space Industry,FSW-0 9,Long March 2C | FSW-0 9,08/05/1987 6:39 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Space Industry,FSW-1 1,Long March 2C | FSW-1 1,09/09/1987 7:15 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Space Industry,DFH-2A 2,Long March 3 | DFH-2A 2,03/07/1988 12:41 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Aerospace Industry,FSW-1 2,Long March 2C | FSW-1 2,08/05/1988 7:28 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Aerospace Industry,Feng Yun 1A,Long March 4A | Feng Yun 1A,09/06/1988 8:30 p.m.,"Launch Complex 7 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 4A,Launch Successful
Ministry of Aerospace Industry,DFH-2A 3,Long March 3 | DFH-2A 3,12/22/1988 12:40 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Aerospace Industry,DFH-2A 4,Long March 3 | DFH-2A 4,02/04/1990 12:27 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Aerospace Industry,Asiasat 1,Long March 3 | Asiasat 1,04/07/1990 1:30 p.m.,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch Successful
Ministry of Aerospace Industry,BADR & Aussat-B-MFS,Long March 2E | BADR & Aussat-B-MFS,07/16/1990 12:40 a.m.,"Launch Complex 2 (LC-2) | Xichang Satellite Launch Center, People's Republic of China",Long March 2E,Launch Successful
Ministry of Aerospace Industry,Feng Yun 1B,Long March 4A | Feng Yun 1B,09/03/1990 12:53 a.m.,"Launch Complex 7 | Taiyuan Satellite Launch Center, People's Republic of China",Long March 4A,Launch Successful
Ministry of Aerospace Industry,FSW-1 3,Long March 2C | FSW-1 3,10/05/1990 6:14 a.m.,"Launch Area 2B | Jiuquan Satellite Launch Center, People's Republic of China",Long March 2,Launch Successful
Ministry of Aerospace Industry,DFH-2A 5,Long March 3 | DFH-2A 5,12/28/1991 noon,"Launch Complex 3 (LC-3/LA-1) | Xichang Satellite Launch Center, People's Republic of China",Long March 3,Launch was a Partial Failure
